id,主类,复合标签,视觉描述,推荐检索词_EN,推荐检索词_ZH,mood,people_count,scene_type,composition,overlay_safe,source_platform,source_url,status
CF001,职场发展,职场发展/通用留白,"Laptop on a desk with creative work displayed, in a cozy and well-lit space",career desk,职场发展,轻微迷茫,2,室外,主体居中留白,是,Pexels,https://www.pexels.com/photo/laptop-on-a-desk-26648986/,已选样张
CF002,职场发展,职场发展/通用留白,"Comfortable home office setup featuring a laptop, house plants, and stationery on a wooden desk",career desk,职场发展,治愈,3+,室外,主体居中留白,是,Pexels,https://www.pexels.com/photo/laptop-on-desk-7888648/,已选样张
CF003,职场发展,职场发展/通用留白,A sleek laptop on a pristine desk in a contemporary open office space,career desk,职场发展,坚定,3+,家庭,浅景深,是,Pexels,https://www.pexels.com/photo/laptop-on-desk-in-office-17367708/,已选样张
CF004,职场发展,职场发展/通用留白,"Elegant desk setup with laptop and monitor, perfect for tech and workspace themes",career desk,职场发展,希望感,3+,室外,45度侧拍,是,Pexels,https://www.pexels.com/photo/laptop-on-desk-24790756/,已选样张
CF005,人生选择,人生选择/迁移旅行,A serene drive along a winding road with mountains and lush vegetation in the background,road journey mountains,人生选择,清爽简洁,1,室内,浅景深,是,Pexels,https://www.pexels.com/photo/scenic-road-amongst-mountainous-landscape-37194779/,已选样张
CF006,学习成长,学习成长/同伴支持,"Three students engaged in studying in a library surrounded by bookshelves, enhancing academic learning",students library study,学习成长,真实自然,3+,旅途,浅景深,是,Pexels,https://www.pexels.com/photo/three-college-students-in-the-library-9572550/,已选样张
CF007,学习成长,学习成长/同伴支持,Two students study together at a library desk with a laptop and books,students library study,学习成长,坚定,0,室外,横版宽画幅,是,Pexels,https://www.pexels.com/photo/students-studying-at-the-library-6281016/,已选样张
CF008,学习成长,学习成长/同伴支持,Students studying together at a library with laptops and books,students library study,学习成长,轻微迷茫,2,室外,主体居中留白,是,Pexels,https://www.pexels.com/photo/students-studying-at-the-library-6281030/,已选样张
CF009,学习成长,学习成长/同伴支持,"Students studying in a contemporary library with glass walls, desks, and shelves",students library study,学习成长,坚定,0,家庭,主体居中留白,是,Pexels,https://www.pexels.com/photo/students-in-library-4903651/,已选样张
CF010,学习成长,学习成长/同伴支持,"A young woman and man study together at a library table, focused on their notes",students library study,学习成长,温暖,3+,室内,俯拍桌面,是,Pexels,https://www.pexels.com/photo/students-studying-intently-in-a-modern-library-35545154/,已选样张
CF011,情感关系,情感关系/城市生活,"A couple sharing a bonding moment while reading indoors, promoting love and togetherness",couple talking indoors,情感关系,克制,2,室外,俯拍桌面,是,Pexels,https://www.pexels.com/photo/photo-of-couple-spending-time-together-7188676/,已选样张
CF012,情感关系,情感关系/城市生活,"A happy couple embraces on a sunlit balcony with stylish architecture, enjoying a bright day",couple talking indoors,情感关系,轻微迷茫,1,室内,远景,是,Pexels,https://www.pexels.com/photo/city-man-people-woman-13114575/,已选样张
CF013,情感关系,情感关系/城市生活,A loving couple laughing together while embracing by the seaside,couple talking indoors,情感关系,克制,1,家庭,主体居中留白,是,Pexels,https://www.pexels.com/photo/laughing-couple-on-a-beach-20784260/,已选样张
CF014,创业思考,创业思考/通用留白,"A thoughtful businessman in a red shirt sits at a desk with a laptop and tablet, deep in thought",entrepreneur thinking desk,创业思考,真实自然,2,室外,浅景深,是,Pexels,https://www.pexels.com/photo/pensive-businessman-at-desk-15545299/,已选样张
CF015,创业思考,创业思考/通用留白,"Laptop on office desk with a city skyline through a large window, offering a modern workspace view",entrepreneur thinking desk,创业思考,平静,3+,家庭,右侧留白适合盖标题,是,Pexels,https://www.pexels.com/photo/laptop-on-a-desk-5483188/,已选样张
CF016,创业思考,创业思考/通用留白,"Minimalist workspace featuring a laptop, AirPods, and pen holder on a wooden desk",entrepreneur thinking desk,创业思考,治愈,0,城市,45度侧拍,是,Pexels,https://www.pexels.com/photo/laptop-on-wooden-desk-4013230/,已选样张
CF017,家庭亲情,家庭亲情/温暖居家,"A family sharing a joyful moment inside their cozy, traditionally decorated home",family dinner home,家庭亲情,真实自然,0,桌面,主体居中留白,是,Pexels,https://www.pexels.com/photo/warm-family-moment-in-traditional-home-37299401/,已选样张
CF018,家庭亲情,家庭亲情/温暖居家,"Warm family dinner with candles and wine, perfect for intimate home gatherings",family dinner home,家庭亲情,治愈,3+,桌面,右侧留白适合盖标题,是,Pexels,https://www.pexels.com/photo/family-having-dinner-at-home-11368703/,已选样张
CF019,职场发展,职场发展/创业思考/通用留白/远程办公,极简办公桌上的笔记本与记事本，适合“转行、求职、第一份工作”,career desk,远程办公,轻微迷茫,0,城市,浅景深,是,待补图,,概念位
CF020,职场发展,职场发展/面试求职,现代开放式办公室中的空工位，适合“职业规划、升职跳槽”,home office laptop,面试求职,坚定,1,桌面,远景,是,待补图,,概念位
